title,company,location,source,url,sponsorship_status,is_h1b_sponsor,first_seen,status,applied
Senior Strategist Future of Work & AI Readiness,American Institutes for Research,,remoteok,https://remoteOK.com/remote-jobs/remote-senior-strategist-future-of-work-ai-readiness-american-institutes-for-research-1130983,likely,1,2026-04-13T16:08:17.020314,new,0
Legal Counsel AI Trainer Freelance 8 20 hrs week,10x Team,Bucharest,remoteok,https://remoteOK.com/remote-jobs/remote-legal-counsel-ai-trainer-freelance-8-20-hrs-week-10x-team-1130991,likely,1,2026-04-13T16:08:17.019878,new,0
RevOps AI Analyst Intern,Actian Corporation,US-Remote,remoteok,https://remoteOK.com/remote-jobs/remote-revops-ai-analyst-intern-actian-corporation-1130997,unknown,0,2026-04-13T16:08:17.019329,new,0
Staff Software Engineer CRM LATAM,Luxury Presence,Latin America,remoteok,https://remoteOK.com/remote-jobs/remote-staff-software-engineer-crm-latam-luxury-presence-1131023,unknown,0,2026-04-13T16:08:17.018758,new,0
Intermediate Gameplay Software Engineer,Blackbird Interactive,Vancouver,remoteok,https://remoteOK.com/remote-jobs/remote-intermediate-gameplay-software-engineer-blackbird-interactive-1131030,unknown,0,2026-04-13T16:08:17.018315,new,0
Software Engineering Manager I Mobile,Stone,Remoto,remoteok,https://remoteOK.com/remote-jobs/remote-software-engineering-manager-i-mobile-stone-1131036,unknown,0,2026-04-13T16:08:17.017837,new,0
Lead Instructor Applied AI Engineering Summer 2026,CodePath,,remoteok,https://remoteOK.com/remote-jobs/remote-lead-instructor-applied-ai-engineering-summer-2026-codepath-1131038,unknown,0,2026-04-13T16:08:17.017352,new,0
Staff Software Engineer Full Stack,Ternary,,remoteok,https://remoteOK.com/remote-jobs/remote-staff-software-engineer-full-stack-ternary-1131066,likely,1,2026-04-13T16:08:17.016785,new,0
Machine Learning Engineer,Radformation,,remoteok,https://remoteOK.com/remote-jobs/remote-machine-learning-engineer-radformation-1131082,unknown,0,2026-04-13T16:08:17.016191,new,0
Senior Cloud Architect ML AI,DoiT,,remoteok,https://remoteOK.com/remote-jobs/remote-senior-cloud-architect-ml-ai-doit-1131089,unknown,0,2026-04-13T16:08:17.015582,new,0
Software Development Engineer,Adobe,"San Jose, CA",linkedin,https://www.linkedin.com/jobs/view/software-development-engineer-at-adobe-4307927034,likely,1,2026-04-13T16:08:17.015059,new,0
"Software Engineer, Frontend",Ramp,"San Francisco, CA",linkedin,https://www.linkedin.com/jobs/view/software-engineer-frontend-at-ramp-4276814807,likely,1,2026-04-13T16:08:17.014606,new,0
"Software Engineer, Web",PayPal,"Austin, TX",linkedin,https://www.linkedin.com/jobs/view/software-engineer-web-at-paypal-4361482891,likely,1,2026-04-13T16:08:17.014147,new,0
"Software Engineer, Frontend",HIFI,"New York, NY",linkedin,https://www.linkedin.com/jobs/view/software-engineer-frontend-at-hifi-4401372842,unknown,0,2026-04-13T16:08:17.013653,new,0
Junior Software Engineer,ECFX,United States,linkedin,https://www.linkedin.com/jobs/view/junior-software-engineer-at-ecfx-4401365581,unknown,0,2026-04-13T16:08:17.013119,new,0
"Software Engineer, Trading Engineering",Two Sigma,"New York, United States",linkedin,https://www.linkedin.com/jobs/view/software-engineer-trading-engineering-at-two-sigma-4285896406,likely,1,2026-04-13T16:08:17.012506,new,0
"Full Stack Software Engineer, Growth",OpenAI,"San Francisco, CA",linkedin,https://www.linkedin.com/jobs/view/full-stack-software-engineer-growth-at-openai-4307261950,likely,1,2026-04-13T16:08:17.011949,new,0
"Software Engineer, Backend",HIFI,"New York, NY",linkedin,https://www.linkedin.com/jobs/view/software-engineer-backend-at-hifi-4401377473,unknown,0,2026-04-13T16:08:17.011395,new,0
"Software Engineer, New Grad",Profound,Buffalo-Niagara Falls Area,linkedin,https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-profound-4396650991,unknown,0,2026-04-13T16:08:17.010861,new,0
AI / ML Engineer | Remote,Crossing Hurdles,United States,linkedin,https://www.linkedin.com/jobs/view/ai-ml-engineer-remote-at-crossing-hurdles-4399619823,unknown,0,2026-04-13T16:08:17.010343,new,0
"Machine Learning Engineer | Python | Pytorch | Distributed Training | Optimisation | GPU | Hybrid, San Jose, CA",Enigma,"San Jose, CA",linkedin,https://www.linkedin.com/jobs/view/machine-learning-engineer-python-pytorch-distributed-training-optimisation-gpu-hybrid-san-jose-ca-at-enigma-4399674201,unknown,0,2026-04-13T16:08:17.009803,new,0
