user_id,item_id,rating
user_464,activity_196,5
user_357,activity_258,5
user_22,activity_52,5
user_201,activity_82,1
user_84,activity_77,1
user_365,activity_0,3
user_172,activity_204,4
user_445,activity_287,2
user_347,activity_94,2
user_249,activity_161,3
user_378,activity_267,1
user_53,activity_235,5
user_477,activity_221,3
user_312,activity_111,5
user_340,activity_65,3
user_434,activity_102,4
user_225,activity_293,2
user_97,activity_285,3
user_434,activity_248,1
user_471,activity_29,2
user_50,activity_80,5
user_284,activity_137,1
user_329,activity_272,4
user_339,activity_68,2
user_261,activity_52,2
user_204,activity_125,3
user_42,activity_239,3
user_370,activity_110,1
user_150,activity_182,3
user_373,activity_7,4
user_359,activity_183,1
user_194,activity_194,3
user_92,activity_159,2
user_60,activity_121,3
user_402,activity_276,5
user_465,activity_91,2
user_316,activity_21,5
user_325,activity_0,5
user_232,activity_11,2
user_45,activity_33,1
user_77,activity_217,5
user_410,activity_72,2
user_248,activity_46,1
user_213,activity_238,3
user_318,activity_47,5
user_336,activity_25,4
user_256,activity_7,1
user_354,activity_252,4
user_206,activity_126,2
user_27,activity_77,2
user_364,activity_153,3
user_311,activity_6,3
user_110,activity_237,3
user_238,activity_273,2
user_293,activity_226,3
user_14,activity_191,1
user_118,activity_27,2
user_38,activity_272,2
user_125,activity_299,1
user_144,activity_12,4
user_24,activity_67,2
user_66,activity_232,5
user_145,activity_110,4
user_110,activity_33,1
user_235,activity_82,2
user_424,activity_100,4
user_281,activity_225,3
user_439,activity_228,1
user_288,activity_149,5
user_197,activity_69,4
user_349,activity_94,1
user_246,activity_242,5
user_35,activity_222,2
user_467,activity_219,3
user_3,activity_133,1
user_93,activity_61,1
user_193,activity_202,2
user_434,activity_172,4
user_132,activity_117,4
user_274,activity_211,1
user_19,activity_112,4
user_46,activity_0,2
user_141,activity_37,5
user_381,activity_138,4
user_332,activity_258,1
user_389,activity_177,2
user_260,activity_137,4
user_385,activity_12,2
user_83,activity_100,1
user_272,activity_264,3
user_398,activity_37,3
user_93,activity_94,1
user_68,activity_235,2
user_333,activity_136,2
user_75,activity_34,1
user_295,activity_59,5
user_327,activity_266,1
user_228,activity_269,4
user_285,activity_290,5
user_164,activity_4,3
user_378,activity_77,2
user_61,activity_131,1
user_236,activity_41,1
user_401,activity_295,3
user_124,activity_22,1
user_152,activity_144,1
user_494,activity_103,3
user_38,activity_197,3
user_390,activity_178,2
user_447,activity_14,5
user_288,activity_230,3
user_419,activity_156,1
user_96,activity_288,4
user_85,activity_9,5
user_122,activity_117,5
user_158,activity_227,5
user_215,activity_183,5
user_135,activity_260,5
user_46,activity_172,2
user_410,activity_94,3
user_242,activity_291,2
user_298,activity_282,5
user_147,activity_10,2
user_359,activity_37,2
user_301,activity_217,5
user_103,activity_209,1
user_480,activity_110,4
user_170,activity_132,5
user_327,activity_126,2
user_496,activity_91,2
user_392,activity_50,5
user_461,activity_295,1
user_213,activity_266,1
user_301,activity_100,5
user_345,activity_109,4
user_181,activity_0,3
user_423,activity_148,1
user_308,activity_136,2
user_435,activity_116,2
user_424,activity_290,4
user_24,activity_89,3
user_293,activity_209,3
user_417,activity_16,3
user_442,activity_250,3
user_181,activity_151,1
user_454,activity_179,5
user_343,activity_160,1
user_284,activity_62,3
user_149,activity_153,4
user_369,activity_48,1
user_83,activity_176,4
user_117,activity_62,5
user_359,activity_48,1
user_223,activity_140,3
